air_name,example_source
air.simd_is_first,golden/P07F40/metal40_macosx26/probe.ll
air.simd_is_helper_thread,golden/P07F40/metal40_macosx26/probe.ll
air.simd_max.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_min.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_or.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.simd_prefix_exclusive_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_prefix_exclusive_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_prefix_inclusive_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_prefix_inclusive_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_shuffle.f32,golden/P07F/metal32_macosx26/probe.ll
air.simd_shuffle_and_fill_down.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_shuffle_and_fill_up.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_shuffle_down.f32,golden/P07F/metal32_macosx26/probe.ll
air.simd_shuffle_rotate_down.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_shuffle_rotate_up.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_shuffle_up.f32,golden/P07F/metal32_macosx26/probe.ll
air.simd_shuffle_xor.f32,golden/P07F/metal32_macosx26/probe.ll
air.simd_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.simd_vote_all.i64,golden/P08M40/metal40_macosx26/probe.ll
air.simd_vote_any.i64,golden/P08M40/metal40_macosx26/probe.ll
air.simd_xor.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.simdgroup.barrier,golden/P07F/metal32_macosx26/probe.ll
air.source_file_name,golden/P01/metal32_macosx26/probe.ll
air.store_global_tensor.s.i32.global.f32,golden/P10T40_run10/metal40_macosx26/probe.ll
air.struct_type_info,golden/P01/metal32_macosx26/probe.ll
air.sub_sat.s.i8,golden/P04/metal32_macosx26/probe.ll
air.texture,golden/P01/metal32_macosx26/probe.ll
air.thread_position_in_grid,golden/P01/metal32_macosx26/probe.ll
air.unpack.snorm.rgb10a2.v4f16,golden/P07F40/metal40_macosx26/probe.ll
air.unpack.snorm2x16.v2f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.snorm4x8.v4f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.unorm.rgb10a2.v4f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.unorm.rgb565.v3f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.unorm2x16.v2f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.unorm4x8.srgb.v4f32,golden/P05/metal32_macosx26/probe.ll
air.unpack.unorm4x8.v4f32,golden/P05/metal32_macosx26/probe.ll
air.version,golden/P01/metal32_macosx26/probe.ll
air.vertex,golden/P02/metal32_macosx26/probe.ll
air.vertex_id,golden/P02/metal32_macosx26/probe.ll
air.vertex_input,golden/P02/metal32_macosx26/probe.ll
air.vertex_output,golden/P02/metal32_macosx26/probe.ll
air.wg.barrier,golden/P01/metal32_macosx26/probe.ll
